query,intent
혹시 졸업 ﻿,0
혹시 졸업 하고싶어요,0
혹시 졸업 원해요,0
혹시 졸업 어떻게 해야 되요?,0
혹시 졸업 어떻게 해야 돼,0
혹시 졸업 하고 싶은데,0
혹시 졸업 알려줘,0
혹시 졸업 알고싶어,0
혹시 졸업 알려주세요,0
혹시 졸업 가르쳐줘,0
혹시 졸업 하고 싶다,0
혹시 졸업 하고 싶은데,0
혹시 졸업 할게요,0
혹시 졸업 도와줘,0
혹시 졸업 할께요,0
혹시 졸업 도와주세요,0
혹시 졸업 할 수 있나요?,0
혹시 졸업 가능 한가요,0
혹시 졸업 문의드려요,0
혹시 졸업 당일 가능한가요,0
혹시 졸업 해주세요,0
혹시 졸업 하려구요,0
혹시 졸업 되었나요,0
혹시 졸업 되나요,0
혹시 졸업 할수 있을까요?,0
혹시 졸업 싶어요,0
혹시 졸업 언제 가능,0
혹시 졸업 언제가능할까요,0
혹시 졸업 한가요?,0
혹시 졸업 어떻게 하나요,0
혹시 졸업 어떻게 되나요,0
혹시 졸업 어떻게 하나요,0
혹시 졸업 하는법,0
혹시 졸업 할래,0
혹시 졸업 해줘,0
혹시 졸업 확인,0
혹시 졸업 해야 합니다,0
혹시 졸업 가능할까요,0
혹시 졸업 궁금합니다,0
혹시 졸업 뭐야,0
혹시 졸업 뭐임,0
혹시 졸업요건 ﻿,0
혹시 졸업요건 하고싶어요,0
혹시 졸업요건 원해요,0
혹시 졸업요건 어떻게 해야 되요?,0
혹시 졸업요건 어떻게 해야 돼,0
혹시 졸업요건 하고 싶은데,0
혹시 졸업요건 알려줘,0
혹시 졸업요건 알고싶어,0
혹시 졸업요건 알려주세요,0
혹시 졸업요건 가르쳐줘,0
혹시 졸업요건 하고 싶다,0
혹시 졸업요건 하고 싶은데,0
혹시 졸업요건 할게요,0
혹시 졸업요건 도와줘,0
혹시 졸업요건 할께요,0
혹시 졸업요건 도와주세요,0
혹시 졸업요건 할 수 있나요?,0
혹시 졸업요건 가능 한가요,0
혹시 졸업요건 문의드려요,0
혹시 졸업요건 당일 가능한가요,0
혹시 졸업요건 해주세요,0
혹시 졸업요건 하려구요,0
혹시 졸업요건 되었나요,0
혹시 졸업요건 되나요,0
혹시 졸업요건 할수 있을까요?,0
혹시 졸업요건 싶어요,0
혹시 졸업요건 언제 가능,0
혹시 졸업요건 언제가능할까요,0
혹시 졸업요건 한가요?,0
혹시 졸업요건 어떻게 하나요,0
혹시 졸업요건 어떻게 되나요,0
혹시 졸업요건 어떻게 하나요,0
혹시 졸업요건 하는법,0
혹시 졸업요건 할래,0
혹시 졸업요건 해줘,0
혹시 졸업요건 확인,0
혹시 졸업요건 해야 합니다,0
혹시 졸업요건 가능할까요,0
혹시 졸업요건 궁금합니다,0
혹시 졸업요건 뭐야,0
혹시 졸업요건 뭐임,0
혹시 졸업 요건 ﻿,0
혹시 졸업 요건 하고싶어요,0
혹시 졸업 요건 원해요,0
혹시 졸업 요건 어떻게 해야 되요?,0
혹시 졸업 요건 어떻게 해야 돼,0
혹시 졸업 요건 하고 싶은데,0
혹시 졸업 요건 알려줘,0
혹시 졸업 요건 알고싶어,0
혹시 졸업 요건 알려주세요,0
혹시 졸업 요건 가르쳐줘,0
혹시 졸업 요건 하고 싶다,0
혹시 졸업 요건 하고 싶은데,0
혹시 졸업 요건 할게요,0
혹시 졸업 요건 도와줘,0
혹시 졸업 요건 할께요,0
혹시 졸업 요건 도와주세요,0
혹시 졸업 요건 할 수 있나요?,0
혹시 졸업 요건 가능 한가요,0
혹시 졸업 요건 문의드려요,0
혹시 졸업 요건 당일 가능한가요,0
혹시 졸업 요건 해주세요,0
혹시 졸업 요건 하려구요,0
혹시 졸업 요건 되었나요,0
혹시 졸업 요건 되나요,0
혹시 졸업 요건 할수 있을까요?,0
혹시 졸업 요건 싶어요,0
혹시 졸업 요건 언제 가능,0
혹시 졸업 요건 언제가능할까요,0
혹시 졸업 요건 한가요?,0
혹시 졸업 요건 어떻게 하나요,0
혹시 졸업 요건 어떻게 되나요,0
혹시 졸업 요건 어떻게 하나요,0
혹시 졸업 요건 하는법,0
혹시 졸업 요건 할래,0
혹시 졸업 요건 해줘,0
혹시 졸업 요건 확인,0
혹시 졸업 요건 해야 합니다,0
혹시 졸업 요건 가능할까요,0
혹시 졸업 요건 궁금합니다,0
혹시 졸업 요건 뭐야,0
혹시 졸업 요건 뭐임,0
오늘 졸업 ﻿,0
오늘 졸업 하고싶어요,0
오늘 졸업 원해요,0
오늘 졸업 어떻게 해야 되요?,0
오늘 졸업 어떻게 해야 돼,0
오늘 졸업 하고 싶은데,0
오늘 졸업 알려줘,0
오늘 졸업 알고싶어,0
오늘 졸업 알려주세요,0
오늘 졸업 가르쳐줘,0
오늘 졸업 하고 싶다,0
오늘 졸업 하고 싶은데,0
오늘 졸업 할게요,0
오늘 졸업 도와줘,0
오늘 졸업 할께요,0
오늘 졸업 도와주세요,0
오늘 졸업 할 수 있나요?,0
오늘 졸업 가능 한가요,0
오늘 졸업 문의드려요,0
오늘 졸업 당일 가능한가요,0
오늘 졸업 해주세요,0
오늘 졸업 하려구요,0
오늘 졸업 되었나요,0
오늘 졸업 되나요,0
오늘 졸업 할수 있을까요?,0
오늘 졸업 싶어요,0
오늘 졸업 언제 가능,0
오늘 졸업 언제가능할까요,0
오늘 졸업 한가요?,0
오늘 졸업 어떻게 하나요,0
오늘 졸업 어떻게 되나요,0
오늘 졸업 어떻게 하나요,0
오늘 졸업 하는법,0
오늘 졸업 할래,0
오늘 졸업 해줘,0
오늘 졸업 확인,0
오늘 졸업 해야 합니다,0
오늘 졸업 가능할까요,0
오늘 졸업 궁금합니다,0
오늘 졸업 뭐야,0
오늘 졸업 뭐임,0
오늘 졸업요건 ﻿,0
오늘 졸업요건 하고싶어요,0
오늘 졸업요건 원해요,0
오늘 졸업요건 어떻게 해야 되요?,0
오늘 졸업요건 어떻게 해야 돼,0
오늘 졸업요건 하고 싶은데,0
오늘 졸업요건 알려줘,0
오늘 졸업요건 알고싶어,0
오늘 졸업요건 알려주세요,0
오늘 졸업요건 가르쳐줘,0
오늘 졸업요건 하고 싶다,0
오늘 졸업요건 하고 싶은데,0
오늘 졸업요건 할게요,0
오늘 졸업요건 도와줘,0
오늘 졸업요건 할께요,0
오늘 졸업요건 도와주세요,0
오늘 졸업요건 할 수 있나요?,0
오늘 졸업요건 가능 한가요,0
오늘 졸업요건 문의드려요,0
오늘 졸업요건 당일 가능한가요,0
오늘 졸업요건 해주세요,0
오늘 졸업요건 하려구요,0
오늘 졸업요건 되었나요,0
오늘 졸업요건 되나요,0
오늘 졸업요건 할수 있을까요?,0
오늘 졸업요건 싶어요,0
오늘 졸업요건 언제 가능,0
오늘 졸업요건 언제가능할까요,0
오늘 졸업요건 한가요?,0
오늘 졸업요건 어떻게 하나요,0
오늘 졸업요건 어떻게 되나요,0
오늘 졸업요건 어떻게 하나요,0
오늘 졸업요건 하는법,0
오늘 졸업요건 할래,0
오늘 졸업요건 해줘,0
오늘 졸업요건 확인,0
오늘 졸업요건 해야 합니다,0
오늘 졸업요건 가능할까요,0
오늘 졸업요건 궁금합니다,0
오늘 졸업요건 뭐야,0
오늘 졸업요건 뭐임,0
오늘 졸업 요건 ﻿,0
오늘 졸업 요건 하고싶어요,0
오늘 졸업 요건 원해요,0
오늘 졸업 요건 어떻게 해야 되요?,0
오늘 졸업 요건 어떻게 해야 돼,0
오늘 졸업 요건 하고 싶은데,0
오늘 졸업 요건 알려줘,0
오늘 졸업 요건 알고싶어,0
오늘 졸업 요건 알려주세요,0
오늘 졸업 요건 가르쳐줘,0
오늘 졸업 요건 하고 싶다,0
오늘 졸업 요건 하고 싶은데,0
오늘 졸업 요건 할게요,0
오늘 졸업 요건 도와줘,0
오늘 졸업 요건 할께요,0
오늘 졸업 요건 도와주세요,0
오늘 졸업 요건 할 수 있나요?,0
오늘 졸업 요건 가능 한가요,0
오늘 졸업 요건 문의드려요,0
오늘 졸업 요건 당일 가능한가요,0
오늘 졸업 요건 해주세요,0
오늘 졸업 요건 하려구요,0
오늘 졸업 요건 되었나요,0
오늘 졸업 요건 되나요,0
오늘 졸업 요건 할수 있을까요?,0
오늘 졸업 요건 싶어요,0
오늘 졸업 요건 언제 가능,0
오늘 졸업 요건 언제가능할까요,0
오늘 졸업 요건 한가요?,0
오늘 졸업 요건 어떻게 하나요,0
오늘 졸업 요건 어떻게 되나요,0
오늘 졸업 요건 어떻게 하나요,0
오늘 졸업 요건 하는법,0
오늘 졸업 요건 할래,0
오늘 졸업 요건 해줘,0
오늘 졸업 요건 확인,0
오늘 졸업 요건 해야 합니다,0
오늘 졸업 요건 가능할까요,0
오늘 졸업 요건 궁금합니다,0
오늘 졸업 요건 뭐야,0
오늘 졸업 요건 뭐임,0
그리고 졸업 ﻿,0
그리고 졸업 하고싶어요,0
그리고 졸업 원해요,0
그리고 졸업 어떻게 해야 되요?,0
그리고 졸업 어떻게 해야 돼,0
그리고 졸업 하고 싶은데,0
그리고 졸업 알려줘,0
그리고 졸업 알고싶어,0
그리고 졸업 알려주세요,0
그리고 졸업 가르쳐줘,0
그리고 졸업 하고 싶다,0
그리고 졸업 하고 싶은데,0
그리고 졸업 할게요,0
그리고 졸업 도와줘,0
그리고 졸업 할께요,0
그리고 졸업 도와주세요,0
그리고 졸업 할 수 있나요?,0
그리고 졸업 가능 한가요,0
그리고 졸업 문의드려요,0
그리고 졸업 당일 가능한가요,0
그리고 졸업 해주세요,0
그리고 졸업 하려구요,0
